custom/total_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/avg_center_dev,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
[-10.],7.761597362346947,0.008255933952528379,[1.44770258],[-0.2],0.15012262630883577,,,,,,,,,,,,,,,,,
[0.27992733],8.308456800878048,0.011544011544011544,[2.03519389],[0.00622061],0.11256362175958748,,,,,,,,,,,,,,,,,
[0.19601637],6.102845633402467,0.009630818619582664,[1.20466515],[0.00408367],0.11053200811660997,,,,,,,,,,,,,,,,,
-20.0,0.1411854326725006,0.0021321961620469083,[0.47803018],-10.0,0.004459372878187022,,,,,,,,,,,,,,,,,
[0.],2.6365953646600246,0.006864988558352402,[1.21011721],[0.],0.08816932916306033,,,,,,,,,,,,,,,,,
[0.1083218],2.332732804119587,0.005221932114882507,[0.87394],[0.00416622],0.17105484378100708,,,,,,,,,,,,,,,,,
[0.069523],2.771127313375473,0.002411575562700965,[1.37071993],[0.00302274],0.10542036028868991,,,,,,,,,,,,,,,,,
[0.10967945],4.491723902523518,0.00992063492063492,[1.83283937],[0.0040622],0.11336879437417967,,,,,,,,,,,,,,,,,
-20.0,0.09538985788822174,0.0013003901170351106,[0.30898644],-10.0,0.006566411812440799,,,,,,,,,,,,,,,,,
[0.29862747],4.490752992453054,0.006289308176100629,[0.88944183],[0.00497712],0.07933264949278465,,,,,,,,,,,,,,,,,
[2.18736521],12.722547420067713,0.01813110181311018,[2.17044064],[0.03264724],0.09617284007502686,,,,,,,,,,,,,,,,,
-20.0,0.1845104843378067,0.0026041666666666665,[0.56797889],-10.0,0.03787584921795024,,,,,,,,,,,,,,,,,
,,,,,,8,-4.33140979,4096,30.9,487,4,,,,,,,,,,,
[0.15804779],5.87212461233139,0.015957446808510637,[1.17317328],[0.00607876],0.08439988356370193,,,,,,,1.0118969678878784,0.11015625,1.6532675553113223,0.2,9.9190652944384e-05,-0.01340134353376925,40,0.45985469222068787,-0.42264628410339355,-2.8562930688261985,0.009437112
[0.16174465],2.3494988083839417,0.004189944134078212,[1.12057973],[0.00770213],0.10560354524460779,,,,,,,,,,,,,,,,,
[-10.],0.6988561081234366,0.003048780487804878,[0.22621891],[-0.35714286],0.09968241562862365,,,,,,,,,,,,,,,,,
[-10.],4.790262579917908,0.007537688442211055,[1.44230958],[-0.33333333],0.25260332283346265,,,,,,,,,,,,,,,,,
[0.54306341],4.737752787768841,0.007621951219512195,[1.86662889],[0.02172254],0.0802175802063391,,,,,,,,,,,,,,,,,
[0.],5.608090229332447,0.009630818619582664,[1.13936904],[0.],0.09798970797894928,,,,,,,,,,,,,,,,,
-20.0,0.17092201113700867,0.0017985611510791368,[0.5535685],-10.0,0.009848208052010648,,,,,,,,,,,,,,,,,
[-9.90764975],1.3314989221980795,0.003105590062111801,[0.50357184],[-0.30961405],0.07584313591588837,,,,,,,,,,,,,,,,,
[0.07432384],2.768974708393216,0.03,[1.08921172],[0.002186],0.11250686806061998,,,,,,,,,,,,,,,,,
[-9.82346315],8.388858113437891,0.031141868512110725,[1.62482443],[-0.16649938],0.39198342126402125,,,,,,,,,,,,,,,,,
[0.76266525],6.97165746986866,0.011477761836441894,[1.27066728],[0.01292653],0.0765811467898718,,,,,,,,,,,,,,,,,
[0.15140414],4.461039587855339,0.007889546351084813,[1.50090239],[0.004588],0.18735891573905053,,,,,,,,,,,,,,,,,
-20.0,0.18163013458251953,0.00130718954248366,[0.58750517],-10.0,0.016253670863068923,,,,,,,,,,,,,,,,,
[-9.94660755],4.886007629800588,0.01182033096926714,[1.23775681],[-0.25504122],0.15166436973044695,,,,,,,,,,,,,,,,,
[-9.75910323],4.979285411536694,0.015915119363395226,[1.48447115],[-0.2957304],0.13336032665116976,,,,,,,,,,,,,,,,,
[0.53425081],5.0379936918616295,0.008103727714748784,[1.27573769],[0.01443921],0.1189231930503344,,,,,,,,,,,,,,,,,
[0.11981419],2.2111556120216846,0.005415162454873646,[0.80938185],[0.00443756],0.15837626292250526,,,,,,,,,,,,,,,,,
[0.30309202],3.2959781736135483,0.007858546168958742,[1.25897217],[0.01122563],0.15215614269502298,,,,,,,,,,,,,,,,,
-20.0,0.18177056312561035,0.0012360939431396785,[0.60852957],-10.0,0.028763362481535996,,,,,,,,,,,,,,,,,
[0.32647389],7.170435972511768,0.014141414141414142,[1.82472664],[0.00725498],0.10322859532025269,,,,,,,,,,,,,,,,,
[0.03976597],6.135740946047008,0.009641873278236915,[1.4517804],[0.00079532],0.12671196556577116,,,,,,,,,,,,,,,,,
-20.0,0.1796375960111618,0.0018214936247723133,[0.55916947],-10.0,0.011234722518775378,,,,,,,,,,,,,,,,,
[0.],11.394460132112727,0.013761467889908258,[1.88713538],[0.],0.24929658095231555,,,,,,,,,,,,,,,,,
[-9.92144668],0.42439710116013885,0.009615384615384616,[0.27873751],[-0.62009042],0.0035477493821344007,,,,,,,,,,,,,,,,,
[0.04463217],1.9037805665284395,0.0025031289111389237,[0.66934634],[0.00143975],0.12106928794356546,,,,,,,,,,,,,,,,,
[-10.],2.9145893678069115,0.00980392156862745,[1.07831422],[-0.38461538],0.23824055448750897,,,,,,,,,,,,,,,,,
[-9.68504391],10.230909544974566,0.015895953757225433,[1.26818738],[-0.11668728],0.38278282853795415,,,,,,,,,,,,,,,,,
[-9.89695405],3.3000697568058968,0.013937282229965157,[0.9165289],[-0.26044616],0.16403738228243028,,,,,,,,,,,,,,,,,
[-10.],2.7377686854451895,0.005873715124816446,[0.86749086],[-0.29411765],0.13664715194702828,,,,,,,,,,,,,,,,,
[0.01984595],2.5574738681316376,0.0410958904109589,[1.58359434],[0.00124037],0.22588182879664373,,,,,,,,,,,,,,,,,
[0.09745723],1.5952385179698467,0.003527336860670194,[1.01563698],[0.00609108],0.09927469277081086,,,,,,,,,,,,,,,,,
[-9.33990217],5.5265799686312675,0.00894187779433681,[2.28920084],[-0.3459223],0.19102014938458267,,,,,,,,,,,,,,,,,
